"node1","node2","Uni_N1","Uni_N2"
"eco:b0677","eco:b1119","P0AF18","P75959"
"eco:b0678","eco:b1119","P0A759","P75959"
"eco:b1129","eco:b1130","P23837","P23836"
"eco:b0474","eco:b1131","P69441","P0AB89"
"eco:b0522","eco:b1131","P09029","P0AB89"
"eco:b0684","eco:b1131","P61949","P0AB89"
"eco:b0523","eco:b1131","P0AG18","P0AB89"
"eco:b0116","eco:b1136","P0A9P0","P08200"
"eco:b0726","eco:b1136","P0AFG3","P08200"
"eco:b0114","eco:b1136","P0AFG8","P08200"
"eco:b0723","eco:b1136","P0AC41","P08200"
"eco:b0729","eco:b1136","P0AGE9","P08200"
"eco:b0720","eco:b1136","P0ABH7","P08200"
"eco:b0903","eco:b1136","P09373","P08200"
"eco:b0115","eco:b1136","P06959","P08200"
"eco:b0724","eco:b1136","P07014","P08200"
"eco:b0728","eco:b1136","P0A836","P08200"
"eco:b0118","eco:b1136","P36683","P08200"
"eco:b0727","eco:b1136","P0AFG6","P08200"
"eco:b0721","eco:b1136","P69054","P08200"
"eco:b0722","eco:b1136","P0AC44","P08200"
"eco:b1189","eco:b1190","P0A6J5","P29012"
"eco:b1198","eco:b1199","P37349","P76014"
"eco:b1198","eco:b1200","P37349","P76015"
"eco:b1199","eco:b1200","P76014","P76015"
"eco:b0029","eco:b1208","P62623","P62615"
