node1 node2 experimental database textmining combined_score
b0036 b1656 283 0 44 285
b0036 b4506 348 0 0 347
b0036 b1241 70 0 135 161
b0036 b3165 458 0 0 457
b0036 b2216 215 0 0 215
b0036 b1387 74 0 201 228
b0036 b0015 256 0 0 256
b0036 b1695 129 0 84 168
b0036 b3845 269 152 68 371
b0037 b3319 259 0 0 258
b0037 b3308 251 0 0 250
b0037 b0169 276 0 0 276
b0037 b0506 457 0 0 457
b0037 b3307 251 0 0 250
b0037 b3303 270 0 0 270
b0037 b4029 167 140 0 252
b0037 b0423 250 0 0 250
b0037 b2562 186 0 0 186
b0037 b2284 251 0 0 250
b0037 b1000 279 0 0 279
b0037 b2720 186 0 0 186
b0037 b0799 199 0 0 199
b0037 b0984 167 140 0 252
b0037 b3649 253 0 0 252
b0037 b3342 270 0 0 270
b0037 b3317 457 0 0 457
b0037 b1406 140 57 50 162
b0037 b2195 236 0 0 236
b0037 b0476 192 0 72 218
b0037 b3311 459 0 0 459
b0037 b3527 204 0 0 204
b0037 b0928 210 0 63 228
b0037 b3318 272 0 0 272
b0037 b1378 186 0 0 186
b0037 b0659 446 0 0 446
b0037 b1008 242 0 0 241
b0037 b4309 192 0 72 218
b0037 b1656 281 0 0 281
b0037 b4211 206 0 0 206
b0037 b3295 229 0 0 228
b0037 b2400 206 0 0 206
b0037 b0525 285 0 0 284
b0037 b3312 251 0 0 250
b0037 b3987 217 0 0 217
b0037 b3320 461 0 0 461
b0037 b2283 251 0 0 250
b0037 b1559 279 0 0 279
b0037 b3231 461 0 0 461
b0037 b3305 454 228 44 561
b0037 b2184 253 0 0 252
b0037 b1387 70 0 209 232
b0037 b0015 279 0 0 279
b0037 b3165 269 0 0 269
b0037 b1808 199 0 0 199
b0037 b3001 140 57 50 162
b0037 b3304 272 0 0 272
b0037 b1278 167 140 0 252
b0037 b2488 186 0 0 186
b0037 b3315 269 0 0 269
b0037 b3363 285 0 0 284
b0037 b3321 270 0 0 270
b0037 b3425 250 0 0 250
b0037 b0578 242 0 0 241
b0037 b3310 457 0 0 457
b0037 b2285 251 0 0 250
b0037 b3296 270 0 0 270
b0037 b1765 242 0 0 241
b0037 b0586 272 0 314 479
b0037 b0419 140 57 50 162
b0037 b0851 242 0 0 241
b0037 b0183 251 0 0 250
b0037 b2668 250 0 0 250
b0037 b3301 461 0 0 461
b0037 b3611 250 0 0 250
b0037 b0680 206 0 0 206
b0037 b3152 206 0 0 206
b0037 b1771 140 57 50 162
b0037 b3298 222 0 0 222
b0037 b2281 186 0 0 186
b0037 b0144 206 0 0 206
b0037 b3341 269 0 0 269
b0037 b1411 189 140 48 278
b0037 b3983 454 0 0 454
b0037 b0869 206 0 0 206
b0037 b3294 458 0 0 457
b0037 b3316 251 0 0 250
b0037 b0841 167 140 0 252
b0037 b1308 250 0 0 250
b0037 b1494 204 0 0 204
b0037 b3309 461 0 0 461
b0037 b3908 281 0 0 281
b0037 b3314 251 0 0 250
b0037 b4054 210 0 63 228
b0037 b2834 140 57 50 162
b0037 b3313 251 0 0 250
b0037 b1094 462 0 113 502
b0037 b3186 458 0 0 457
b0038 b4011 188 0 0 188
b0039 b1687 0 0 161 161
b0039 b0036 129 0 84 168
b0039 b1393 129 0 84 168
b0039 b2488 242 0 0 241
b0039 b2281 242 0 0 241
b0039 b0349 242 0 0 241
b0039 b0041 349 0 85 378
b0039 b2770 349 0 85 378
b0039 b2919 129 0 84 168
b0039 b1394 129 0 118 198
b0039 b3846 171 0 202 310
b0039 b1698 355 0 85 384
b0039 b1136 73 0 122 151
b0039 b0042 355 0 85 384
b0039 b2341 171 0 202 310
b0039 b0686 277 0 0 277
b0039 b3412 251 0 0 250
b0039 b1009 277 0 0 277
b0039 b2769 355 0 85 384
b0039 b2720 242 0 0 241
b0039 b2562 242 0 0 241
b0039 b2263 251 0 0 250
b0039 b2286 420 0 0 420
b0039 b1378 242 0 0 241
b0039 b1387 64 0 281 298
b0039 b2287 199 0 0 199
b0039 b1697 349 0 85 378
b0039 b2905 147 0 132 227
b0041 b3690 264 0 0 264
b0041 b2488 225 0 0 224
b0041 b3081 761 0 0 761
b0041 b2468 257 0 0 256
b0041 b0221 349 0 85 378
b0041 b0794 457 0 0 457
b0041 b1687 225 0 0 224
b0041 b4187 349 0 85 378
b0041 b2562 225 0 0 224
b0041 b0039 349 0 85 378
b0041 b4468 225 0 0 224
b0041 b2720 225 0 0 224
b0041 b2878 761 0 194 799
b0041 b2769 454 251 95 597
b0041 b3781 158 0 0 157
b0041 b2208 283 0 135 353
b0041 b0043 264 0 0 264
b0041 b2281 225 0 0 224
b0041 b2887 257 0 0 256
b0041 b0042 516 251 102 646
b0041 b1378 225 0 0 224
b0041 b2146 257 0 0 256
b0041 b1699 264 0 0 264
b0041 b1698 454 251 102 600
b0041 b3213 257 0 0 256
b0041 b2133 225 0 0 224
b0041 b2766 264 0 0 264
b0041 b2767 274 0 95 314
b0041 b0044 274 0 95 314
b0041 b2979 225 0 0 224
b0041 b4463 225 0 0 224
b0041 b1650 283 0 0 282
b0041 b1094 152 0 0 151
b0041 b1695 349 0 85 378
b0041 b1700 274 0 95 314
b0042 b2146 199 0 0 199
b0042 b1699 214 0 0 214
b0042 b2887 199 0 0 199
b0042 b3213 199 0 0 199
b0042 b0044 274 0 95 314
b0042 b1697 454 251 102 600
b0042 b2767 274 0 95 314
b0042 b3418 256 0 0 256
b0042 b2133 225 0 0 224
b0042 b2766 214 0 0 214
b0042 b1700 274 0 95 314
b0042 b1695 355 0 85 384
b0042 b1650 243 0 0 242
b0042 b1094 176 0 118 242
b0042 b2979 225 0 0 224
b0042 b4463 225 0 0 224
b0042 b0221 355 0 85 384
b0042 b3236 73 0 139 167
b0042 b2468 199 0 0 199
b0042 b2988 508 0 0 508
b0042 b3081 548 0 0 548
b0042 b3690 214 0 0 214
b0042 b4187 355 0 85 384
b0042 b1687 225 0 0 224
b0042 b2878 199 0 0 199
b0042 b2770 454 251 102 600
b0042 b3910 508 0 0 508
b0042 b4468 225 0 0 224
b0042 b0039 355 0 85 384
b0042 b0043 214 0 0 214
b0042 b0041 516 251 102 646
b0043 b2767 264 0 0 264
b0043 b1697 264 0 0 264
b0043 b2770 264 0 0 264
b0043 b0587 343 0 0 343
b0043 b0044 264 0 0 264
b0043 b2769 214 0 0 214
b0043 b0041 264 0 0 264
b0043 b1700 264 0 0 264
b0043 b0042 214 0 0 214
b0043 b1698 214 0 0 214
b0044 b3690 264 0 0 264
b0044 b2542 508 0 0 508
b0044 b0600 457 0 0 457
b0044 b0052 155 0 0 154
b0044 b0520 0 0 741 741
b0044 b2770 274 0 95 314
b0044 b2769 274 0 95 314
b0044 b0041 274 0 95 314
b0044 b0882 457 0 0 457
b0044 b0984 0 0 748 748
b0044 b0043 264 0 0 264
b0044 b0042 274 0 95 314
b0044 b2745 169 0 0 169
b0044 b1699 264 0 0 264
b0044 b1698 274 0 95 314
b0044 b0759 508 0 0 508
b0044 b2766 264 0 0 264
b0044 b1697 274 0 95 314
b0044 b3389 457 0 0 457
b0044 b3481 508 0 0 508
b0046 b0698 0 540 0 540
b0046 b4513 0 540 0 540
b0046 b0696 0 540 0 540
b0046 b0047 618 540 425 890
b0046 b3350 0 540 101 568
b0046 b1900 162 0 0 161
b0046 b0697 0 540 0 540
b0046 b0197 173 0 0 173
b0046 b3351 0 540 0 540
b0047 b3350 0 540 0 540
b0047 b1078 280 0 0 280
b0047 b0046 618 540 425 890
b0047 b0696 0 540 0 540
b0047 b1430 160 0 0 159
b0047 b0440 154 0 0 153
b0047 b1712 154 0 0 153
b0047 b4513 0 540 0 540
b0047 b0437 173 0 0 173
